StockCode,Description,desc_stockcode
10002,1,Unduplicated
10002R,1,Unduplicated
10080,2,Duplicated
10109,1,Unduplicated
10120,2,Duplicated
10123C,1,Unduplicated
10123G,1,Unduplicated
10124A,1,Unduplicated
10124C,0,Unduplicated
10124G,1,Unduplicated
10125,1,Unduplicated
10133,2,Duplicated
10134,1,Unduplicated
10135,1,Unduplicated
10138,1,Unduplicated
11001,1,Unduplicated
15002,1,Unduplicated
15030,1,Unduplicated
15034,1,Unduplicated
15036,1,Unduplicated
15039,1,Unduplicated
15044A,1,Unduplicated
15044B,1,Unduplicated
15044C,1,Unduplicated
15044D,1,Unduplicated
15056BL,1,Unduplicated
15056N,2,Duplicated
15056P,1,Unduplicated
15056bl,1,Unduplicated
15056n,1,Unduplicated
15056p,1,Unduplicated
15058A,3,Duplicated
15058B,2,Duplicated
15058C,2,Duplicated
15059A,1,Unduplicated
15060A,0,Unduplicated
15060B,1,Unduplicated
15060b,1,Unduplicated
16008,2,Duplicated
16010,1,Unduplicated
16011,2,Duplicated
16012,2,Duplicated
16014,1,Unduplicated
16015,1,Unduplicated
16016,1,Unduplicated
16020C,1,Unduplicated
16033,1,Unduplicated
16043,1,Unduplicated
16044,1,Unduplicated
16045,2,Duplicated
16046,1,Unduplicated
16047,1,Unduplicated
16048,1,Unduplicated
16049,1,Unduplicated
16050,1,Unduplicated
16051,1,Unduplicated
16052,1,Unduplicated
16053,1,Unduplicated
16054,1,Unduplicated
16065A,0,Unduplicated
16119,1,Unduplicated
16131,0,Unduplicated
16132,0,Unduplicated
16151A,3,Duplicated
16155H,0,Unduplicated
16156A,0,Unduplicated
16156L,2,Duplicated
16156N,1,Unduplicated
16156S,1,Unduplicated
16161C,1,Unduplicated
16161E,1,Unduplicated
16161G,1,Unduplicated
16161M,1,Unduplicated
16161N,0,Unduplicated
16161P,1,Unduplicated
16161U,2,Duplicated
16162L,1,Unduplicated
16162M,2,Duplicated
16168M,2,Duplicated
16168S,2,Duplicated
16169A,1,Unduplicated
16169C,2,Duplicated
16169D,1,Unduplicated
16169E,2,Duplicated
16169F,1,Unduplicated
16169G,1,Unduplicated
16169H,0,Unduplicated
16169K,1,Unduplicated
16169M,1,Unduplicated
16169N,1,Unduplicated
16169P,1,Unduplicated
16192,1,Unduplicated
16195,0,Unduplicated
16200A,0,Unduplicated
16201A,1,Unduplicated
16201B,1,Unduplicated
16201C,0,Unduplicated
16202A,1,Unduplicated
16202B,1,Unduplicated
16202C,1,Unduplicated
16202E,1,Unduplicated
16206B,1,Unduplicated
16207A,2,Duplicated
16207B,1,Unduplicated
16210,0,Unduplicated
16212,1,Unduplicated
16215,1,Unduplicated
16216,1,Unduplicated
16218,1,Unduplicated
16219,1,Unduplicated
16222B,0,Unduplicated
16225,1,Unduplicated
16235,2,Duplicated
16236,1,Unduplicated
16237,1,Unduplicated
16238,1,Unduplicated
16239,1,Unduplicated
16240,0,Unduplicated
16243A,0,Unduplicated
16243B,1,Unduplicated
16244A,1,Unduplicated
16244B,1,Unduplicated
16245A,2,Duplicated
16245B,0,Unduplicated
16248A,0,Unduplicated
16248B,1,Unduplicated
16249B,0,Unduplicated
16254,1,Unduplicated
16255,0,Unduplicated
16256B,1,Unduplicated
16256C,1,Unduplicated
16258A,1,Unduplicated
16258B,1,Unduplicated
16259,1,Unduplicated
17001,1,Unduplicated
17003,1,Unduplicated
17007B,1,Unduplicated
17010S,0,Unduplicated
17011A,1,Unduplicated
17011B,1,Unduplicated
17011C,1,Unduplicated
17011D,1,Unduplicated
17011E,1,Unduplicated
17011F,1,Unduplicated
17012A,1,Unduplicated
17012B,2,Duplicated
